Kod;Nazwa;Sekcje wg PKD 2007;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;Sekcja P;2012;1044718;etat; 
0000000;POLSKA;Sekcja P;2015;1046526;etat; 
0000000;POLSKA;Sekcja P;2016;1058188;etat; 
0000000;POLSKA;Sekcja P;2017;1087362;etat; 
0000000;POLSKA;Sekcja P;2018;1090451;etat; 
0000000;POLSKA;Sekcja P;2020;1113948;etat; 
0000000;POLSKA;Sekcja P;2019;1115753;etat; 
0000000;POLSKA;Sekcja P;2021;1118975;etat; 
0000000;POLSKA;Sekcja P;2022;1132852;etat; 
0000000;POLSKA;Sekcja G;2005;1379829;etat; 
0000000;POLSKA;Sekcja G;2006;1416198;etat; 
0000000;POLSKA;Sekcja G;2007;1508826;etat; 
0000000;POLSKA;Sekcja G;2013;1529365;etat; 
0000000;POLSKA;Sekcja G;2012;1559330;etat; 
0000000;POLSKA;Sekcja G;2014;1562388;etat; 
0000000;POLSKA;Sekcja G;2011;1580341;etat; 
0000000;POLSKA;Sekcja G;2015;1596417;etat; 
0000000;POLSKA;Sekcja G;2010;1598741;etat; 
0000000;POLSKA;Sekcja G;2009;1611479;etat; 
0000000;POLSKA;Sekcja G;2008;1633504;etat; 
0000000;POLSKA;Sekcja G;2016;1636105;etat; 
0000000;POLSKA;Sekcja G;2017;1689994;etat; 
0000000;POLSKA;Sekcja G;2018;1726363;etat; 
0000000;POLSKA;Sekcja G;2020;1727453;etat; 
0000000;POLSKA;Sekcja G;2022;1741587;etat; 
0000000;POLSKA;Sekcja G;2021;1742417;etat; 
0000000;POLSKA;Sekcja G;2019;1744658;etat; 
0000000;POLSKA;Sekcja C;2005;2162899;etat; 
0000000;POLSKA;Sekcja C;2013;2186589;etat; 
0000000;POLSKA;Sekcja C;2012;2217739;etat; 
0000000;POLSKA;Sekcja C;2006;2225034;etat; 
0000000;POLSKA;Sekcja C;2010;2229775;etat; 
0000000;POLSKA;Sekcja C;2014;2248826;etat; 
0000000;POLSKA;Sekcja C;2011;2251221;etat; 
0000000;POLSKA;Sekcja C;2009;2261651;etat; 
0000000;POLSKA;Sekcja C;2015;2294866;etat; 
0000000;POLSKA;Sekcja C;2007;2350830;etat; 
0000000;POLSKA;Sekcja C;2016;2377804;etat; 
0000000;POLSKA;Sekcja C;2008;2431031;etat; 
0000000;POLSKA;Sekcja C;2017;2453102;etat; 
0000000;POLSKA;Sekcja C;2020;2499109;etat; 
0000000;POLSKA;Sekcja C;2018;2508015;etat; 
0000000;POLSKA;Sekcja C;2021;2542585;etat; 
0000000;POLSKA;Sekcja C;2019;2548658;etat; 
0000000;POLSKA;Sekcja C;2022;2553563;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2005;2619171;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2013;2627205;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2006;2673642;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2012;2674204;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2014;2676458;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2010;2696107;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2015;2705576;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2011;2714192;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2009;2725353;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2016;2777862;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2007;2798367;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2017;2849697;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2008;2890717;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2020;2898153;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2018;2905451;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2021;2939314;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2022;2950039;etat; 
0000000;POLSKA;Sekcja: B+C+D+E;2019;2951418;etat; 
0000000;POLSKA;og—¸em;2005;8786712;etat; 
0000000;POLSKA;og—¸em;2006;8965869;etat; 
0000000;POLSKA;og—¸em;2007;9387718;etat; 
0000000;POLSKA;og—¸em;2013;9566039;etat; 
0000000;POLSKA;og—¸em;2014;9700591;etat; 
0000000;POLSKA;og—¸em;2012;9719559;etat; 
0000000;POLSKA;og—¸em;2010;9744815;etat; 
0000000;POLSKA;og—¸em;2009;9768013;etat; 
0000000;POLSKA;og—¸em;2011;9801877;etat; 
0000000;POLSKA;og—¸em;2015;9822982;etat; 
0000000;POLSKA;og—¸em;2008;9850748;etat; 
0000000;POLSKA;og—¸em;2016;10121648;etat; 
